País;Nivel Educación;Ítem;Valor;Dimension_ISDE;Dimension_Nombre
BEnl;ESO;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
BEnl;ESO;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEnl;ESO;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
BEnl;ESO;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEnl;ESO;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEnl;ESO;Autonomía del centro/autoridad local;Si;D4;Liderazgo y Política Institucional
BEnl;ESO;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEnl;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
BEnl;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
BEnl;Bachillerato;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
BEnl;Bachillerato;Designación de coordinador/a digital en los centros;Si;D4;Liderazgo y Política Institucional
BEnl;Bachillerato;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
BEnl;Bachillerato;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
BEnl;Bachillerato;Criterios de educación digital en marcos de evaluación externa;Si;D4;Liderazgo y Política Institucional
BEnl;Bachillerato;Asignatura separada obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEnl;Bachillerato;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEnl;Bachillerato;Integrada en otras materias obligatorias;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
BEnl;Bachillerato;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
BEnl;Bachillerato;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEnl;Bachillerato;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
BEnl;Bachillerato;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEnl;Bachillerato;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BEnl;Bachillerato;Autonomía del centro/autoridad local;Si;D4;Liderazgo y Política Institucional
BEnl;Bachillerato;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BG;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
BG;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
BG;ESO;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
BG;ESO;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
BG;ESO;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
BG;ESO;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
BG;ESO;Criterios de educación digital en marcos de evaluación externa;Si;D4;Liderazgo y Política Institucional
BG;ESO;Asignatura separada obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
BG;ESO;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
BG;ESO;Integrada en otras materias obligatorias;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BG;ESO;Transversal (cross-curricular);No;D3;Pedagogía Digital / Uso Pedagógico TIC
BG;ESO;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BG;ESO;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
BG;ESO;Informática como asignatura separada y obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
BG;ESO;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BG;ESO;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
BG;ESO;Informática no se imparte como asignatura separada;No;D3;Pedagogía Digital / Uso Pedagógico TIC
BG;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
BG;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
BG;Bachillerato;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
